iter	Passed	Remaining
0	163	162994
1	164	82117
2	165	55098
3	166	41570
4	168	33481
5	169	28155
6	171	24297
7	172	21383
8	173	19118
9	174	17318
10	176	15841
11	177	14609
12	178	13560
13	179	12666
14	181	11901
15	182	11242
16	184	10671
17	185	10144
18	187	9667
19	188	9239
20	189	8852
21	191	8496
22	192	8177
23	193	7880
24	195	7612
25	196	7355
26	197	7133
27	199	6923
28	200	6720
29	202	6531
30	203	6352
31	204	6184
32	205	6030
33	207	5884
34	208	5748
35	209	5618
36	211	5493
37	212	5383
38	214	5280
39	215	5175
40	216	5073
41	218	4975
42	219	4884
43	220	4796
44	222	4712
45	223	4632
46	224	4553
47	225	4479
48	227	4413
49	228	4347
50	230	4280
51	231	4216
52	232	4154
53	233	4095
54	235	4039
55	236	3985
56	237	3932
57	239	3881
58	240	3832
59	242	3791
60	243	3754
61	245	3707
62	246	3664
63	247	3621
64	248	3580
65	250	3540
66	251	3501
67	252	3465
68	254	3427
69	255	3391
70	256	3357
71	258	3327
72	259	3294
73	260	3263
74	262	3231
75	263	3202
76	264	3170
77	265	3139
78	266	3110
79	268	3082
80	269	3054
81	270	3027
82	271	3000
83	273	2978
84	274	2956
85	276	2934
86	277	2912
87	278	2889
88	280	2867
89	281	2846
90	282	2825
91	284	2803
92	285	2781
93	287	2770
94	288	2751
95	290	2734
96	291	2715
97	292	2695
98	294	2676
99	295	2658
100	296	2641
101	297	2623
102	299	2605
103	300	2587
104	302	2574
105	303	2560
106	305	2547
107	306	2531
108	307	2516
109	309	2500
110	310	2485
111	311	2470
112	312	2454
113	313	2439
114	315	2424
115	316	2412
116	317	2398
117	319	2386
118	320	2373
119	321	2360
120	323	2347
121	324	2332
122	325	2320
123	326	2307
124	327	2294
125	328	2281
126	329	2268
127	331	2256
128	332	2248
129	334	2238
130	335	2227
131	337	2216
132	338	2205
133	339	2195
134	341	2184
135	342	2173
136	343	2163
137	344	2152
138	345	2141
139	347	2134
140	349	2126
141	349	2114
142	351	2104
143	352	2094
144	353	2085
145	354	2075
146	356	2066
147	357	2056
148	358	2046
149	359	2038
150	360	2029
151	362	2024
152	364	2017
153	365	2009
154	367	2001
155	368	1993
156	369	1985
157	370	1976
158	372	1968
159	373	1961
160	374	1950
161	375	1943
162	377	1939
163	379	1934
164	380	1928
165	382	1920
166	383	1913
167	384	1905
168	386	1898
169	387	1889
170	388	1882
171	389	1874
172	390	1866
173	391	1860
174	393	1855
175	394	1848
176	395	1840
177	396	1832
178	397	1824
179	398	1817
180	399	1809
181	400	1801
182	401	1793
183	402	1785
184	403	1777
185	404	1769
186	405	1761
187	406	1754
188	407	1748
189	408	1742
190	409	1735
191	410	1727
192	411	1720
193	412	1714
194	413	1707
195	414	1699
196	415	1692
197	416	1685
198	417	1678
199	417	1671
200	418	1664
201	419	1658
202	420	1651
203	421	1646
204	423	1640
205	424	1635
206	425	1629
207	426	1623
208	427	1617
209	428	1611
210	429	1605
211	430	1599
212	431	1593
213	432	1587
214	432	1580
215	433	1574
216	434	1568
217	435	1562
218	436	1556
219	437	1551
220	439	1547
221	440	1542
222	440	1536
223	441	1530
224	442	1525
225	443	1520
226	444	1514
227	445	1508
228	446	1503
229	447	1497
230	448	1492
231	449	1486
232	449	1481
233	450	1475
234	451	1471
235	453	1466
236	454	1462
237	455	1457
238	456	1452
239	456	1447
240	457	1442
241	458	1437
242	459	1432
243	460	1427
244	461	1422
245	462	1417
246	463	1412
247	464	1407
248	464	1402
